,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,percentage_demographic_in_boston_census_group_id,percentage_demographic_in_boston_census_group_%white,percentage_demographic_in_boston_census_group_%black,percentage_demographic_in_boston_census_group_Estimate!!Total,percentage_demographic_in_boston_census_group_Estimate!!Total!!White alone,percentage_demographic_in_boston_census_group_Estimate!!Total!!Black or African American alone,stopped_in_census,stopped_black_in_census,stopped_white_in_census,crime_in_census,%black_in_census,%white_in_census,%stopped_in_census,%black_stopped_in_census,%white_stopped_in_census,%crime_in_census
178,25,25,100800,2,1500000US250251008002,250251008002,2,BG,136910,0,1500000US250251008002,0.6196213425129089,0.143717728055077,1162.0,720.0,167.0,1,1,0,64,0.005988023952095809,0.0,0.0008605851979345956,0.005988023952095809,0.0,0.055077452667814115
186,25,25,91900,4,1500000US250250919004,250250919004,4,BG,69070,0,1500000US250250919004,0.056547619047619,0.888392857142857,672.0,38.0,597.0,3,2,0,111,0.0033500837520938024,0.0,0.004464285714285714,0.0033500837520938024,0.0,0.16517857142857142
187,25,25,60101,2,1500000US250250601012,250250601012,2,BG,46927,0,1500000US250250601012,1.0,0.0,584.0,584.0,0.0,0,0,0,28,,0.0,0.0,,0.0,0.04794520547945205
196,25,25,160501,1,1500000US250251605011,250251605011,1,BG,136199,0,1500000US250251605011,0.369315935152234,0.0268880980624753,2529.0,934.0,68.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
199,25,25,170200,1,1500000US250251702001,250251702001,1,BG,292552,0,1500000US250251702001,0.835519677093845,0.0,991.0,828.0,0.0,0,0,0,0,,0.0,0.0,,0.0,0.0
200,25,25,90400,3,1500000US250250904003,250250904003,3,BG,108017,0,1500000US250250904003,0.0571705426356589,0.7141472868217049,1032.0,59.0,737.0,0,0,0,219,0.0,0.0,0.0,0.0,0.0,0.21220930232558138
205,25,25,100700,2,1500000US250251007002,250251007002,2,BG,602923,146231,1500000US250251007002,0.898867313915858,0.0469255663430421,1236.0,1111.0,58.0,0,0,0,140,0.0,0.0,0.0,0.0,0.0,0.11326860841423948
215,25,25,100700,5,1500000US250251007005,250251007005,5,BG,121300,0,1500000US250251007005,0.9850467289719631,0.0,535.0,527.0,0.0,0,0,0,52,,0.0,0.0,,0.0,0.09719626168224299
218,25,25,130200,5,1500000US250251302005,250251302005,5,BG,226624,0,1500000US250251302005,0.9510926118626429,0.0,961.0,914.0,0.0,2,0,2,37,,0.002188183807439825,0.002081165452653486,,0.002188183807439825,0.03850156087408949
221,25,25,180200,4,1500000US250251802004,250251802004,4,BG,263498,155844,1500000US250251802004,0.862629246676514,0.115214180206795,1354.0,1168.0,156.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
228,25,25,81800,1,1500000US250250818001,250250818001,1,BG,130517,0,1500000US250250818001,0.0937178166838311,0.45005149330587,971.0,91.0,437.0,2,2,0,114,0.004576659038901602,0.0,0.0020597322348094747,0.004576659038901602,0.0,0.11740473738414006
230,25,25,100900,2,1500000US250251009002,250251009002,2,BG,136337,0,1500000US250251009002,0.281150159744409,0.506389776357827,626.0,176.0,317.0,0,0,0,207,0.0,0.0,0.0,0.0,0.0,0.3306709265175719
236,25,25,30300,2,1500000US250250303002,250250303002,2,BG,153031,0,1500000US250250303002,0.783993783993784,0.11033411033411,1287.0,1009.0,142.0,10,5,2,660,0.035211267605633804,0.0019821605550049554,0.00777000777000777,0.035211267605633804,0.0019821605550049554,0.5128205128205128
238,25,25,82000,3,1500000US250250820003,250250820003,3,BG,112981,0,1500000US250250820003,0.0998498498498498,0.484984984984985,1332.0,133.0,646.0,3,3,0,187,0.0046439628482972135,0.0,0.0022522522522522522,0.0046439628482972135,0.0,0.1403903903903904
259,25,25,61000,2,1500000US250250610002,250250610002,2,BG,50911,0,1500000US250250610002,0.27567140600316,0.48025276461295396,1266.0,349.0,608.0,1,0,1,113,0.0,0.0028653295128939827,0.0007898894154818325,0.0,0.0028653295128939827,0.08925750394944708
260,25,25,60800,3,1500000US250250608003,250250608003,3,BG,65246,0,1500000US250250608003,0.837181044957473,0.0,823.0,689.0,0.0,0,0,0,47,,0.0,0.0,,0.0,0.05710814094775213
263,25,25,701,1,1500000US250250007011,250250007011,1,BG,32803,0,1500000US250250007011,0.712858926342072,0.0249687890137328,801.0,571.0,20.0,0,0,0,45,0.0,0.0,0.0,0.0,0.0,0.056179775280898875
