ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
1,"Black or African American Alone",1,"Hispanic or Latino",2014,"2014",3471,"Boston, MA","16000US2507000","boston-ma",14450,0.022025726658445762
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2013,"2013",818,"Boston, MA","16000US2507000","boston-ma",1683,0.0026104760279815733
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2013,"2013",2740,"Boston, MA","16000US2507000","boston-ma",9041,0.014023359339858231
6,"Two or More Races",0,"Not Hispanic or Latino",2013,"2013",2992.046122639155,"Boston, MA","16000US2507000","boston-ma",17126,0.026563881435063826
3,"Asian Alone",0,"Not Hispanic or Latino",2013,"2013",2406,"Boston, MA","16000US2507000","boston-ma",57294,0.08886786307021761
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2013,"2013",1003.9999999999999,"Boston, MA","16000US2507000","boston-ma",1478,0.0022925036062725877
0,"White Alone",1,"Hispanic or Latino",2013,"2013",5523,"Boston, MA","16000US2507000","boston-ma",45073,0.06991205348141025
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2013,"2013",203,"Boston, MA","16000US2507000","boston-ma",0,0
0,"White Alone",0,"Not Hispanic or Latino",2013,"2013",5170,"Boston, MA","16000US2507000","boston-ma",295934,0.4590187836391556
6,"Two or More Races",1,"Hispanic or Latino",2013,"2013",3203.9071459703696,"Boston, MA","16000US2507000","boston-ma",11959,0.018549425323013447
5,"Some Other Race Alone",1,"Hispanic or Latino",2013,"2013",4576,"Boston, MA","16000US2507000","boston-ma",49054,0.07608692280250035
1,"Black or African American Alone",1,"Hispanic or Latino",2013,"2013",3569,"Boston, MA","16000US2507000","boston-ma",13483,0.020913278838547565
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2013,"2013",203,"Boston, MA","16000US2507000","boston-ma",0,0
1,"Black or African American Alone",0,"Not Hispanic or Latino",2013,"2013",3891.0000000000005,"Boston, MA","16000US2507000","boston-ma",142136,0.2204650152781871
3,"Asian Alone",1,"Hispanic or Latino",2013,"2013",369,"Boston, MA","16000US2507000","boston-ma",449,0.0006964371577918754
